,product_name,ratings,sale_price,actual_price
0,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display",3.3,"20,990","33,999"
1,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display",3.9,"31,990","50,990"
2,Dell [Smartchoice] Core i3-1215U,3.7,"33,990","48,692"
3,"Lenovo [Smart Choice Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) Fhd IPS 300Nits 144Hz (8Gb/512Gb Ssd/Win11/Nvidia RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg)",4.1,"45,990","77,990"
4,"Lenovo V14 Intel Core i5 12th Gen 14""(35.56cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Iron Grey/1.43 kg)",5.0,"37,490","75,000"
5,Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52,3.8,,
6,Lenovo V14 G3 (2024),5.0,"37,700","85,999"
7,ASUS Vivobook Go 15 (2023),3.8,"38,931","70,990"
8,MSI Thin 15,3.9,"42,990","67,990"
9,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB SSD/100% DCI-P3/FHD+IR Camera/Win11/MSO 21/1Yr ADP Free/3Mon. Game Pass/Grey/1.39Kg)",4.6,"1,07,990","1,46,890"
10,Lenovo IdeaPad Slim 3 13th Gen Intel Core i3 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg),3.5,"38,490","65,790"
11,"Lenovo IdeaPad 3 12th Gen Intel Core i5-1235U 15.6"" (39.62cm) FHD Thin and Light Laptop (8GB/512GB SDD/Windows 11/Office 2021/Backlit/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg)",3.9,"46,690","91,890"
12,"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD",3.7,"41,990","59,990"
13,HP Laptop 15s,4.0,"37,990","51,134"
14,ASUS Vivobook 15,3.7,"64,990","80,990"
15,HP Victus Gaming Laptop,3.9,"60,990","78,778"
16,HP Smartchoice Victus Gaming Laptop,3.9,"81,990","99,382"
17,"HP 15s Ryzen 5 (8GB RAM/512GB SSD/FHD/Windows 11/ MS Office/Backlit Keyboard/15.6""(39.6cm)/Silver/1.69 kg) eq2144AU Laptop  ",4.1,"36,990","60,959"
18,Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050,4.0,"72,990","1,05,398"
19,Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5 (Windows 11 Home/ 16 GB RAM/ 512 GB SSD/NVIDIA GeForce RTX 2050),4.0,"56,990","69,990"
20,"Acer Nitro 5 12th Gen Intel Core i5-12450H Gaming Laptop (16 GB RAM/512 GB SSD/RTX 3050 Graphics/144 Hz/RGB Backlit/Win11 Home) AN515-58 with 39.62 cm (15.6"") FHD IPS Display",4.3,"70,990","89,990"
21,HP Laptop 15s,3.7,"50,999","70,502"
22,ASUS Vivobook 15,3.9,"48,990","70,990"
23,HP Laptop 14s,3.8,"36,990","51,266"
24,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU Laptop  ,3.7,"52,990","62,417"
25,ASUS Vivobook Go 14,4.2,"29,790","50,990"
26,(Refurbished) Lenovo ThinkPad E470 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/WiFi/Bluetooth/Webcam/Intel HD Graphics)  ,,"13,499","89,999"
27,HONOR MagicBook X16 Pro 2024,4.1,"44,990","78,999"
28,Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display,4.3,"1,39,990","1,54,900"
